uuid,question_type,has_fl_proof?,fl_proof_compiles?,has_nl_proof?,has_soln_description?,soln_description,informal_statement,informal_proof,formal_statement,formal_proof,fl_proof_compilation_REPLerror
6f531907-3e97-57b9-beea-07bf2bd14c62,math-word-problem,no,,no,yes,"Solution: Let $y(x)=a x^{3}+b x^{2}+c x+d$. From the given information, we have
$$
\left\{\begin{array}{l}
d=0, \\
a+b+c+d=0, \\
8 a+4 b+2 c+d=1, \\
27 a+9 b+3 c+d=5 .
\end{array}\right.
$$

Solving, we get $a=\frac{1}{3}, b=-\frac{1}{2}, c=\frac{1}{6}, d=0$.
$$
\therefore y(x)=\frac{1}{3} x^{3}-\frac{1}{2} x^{2}+\frac{1}{6} x \text {. }
$$","Example 8 Try to find a 3rd degree polynomial $y(x)$, such that it satisfies $y(0)=y(1)=0, y(2)=1, y(3)=5$.
(Guangdong Province Olympiad 1987 Winter Training)",,"import Mathlib

/- Example 8 Try to find a 3rd degree polynomial $y(x)$, such that it satisfies $y(0)=y(1)=0, y(2)=1, y(3)=5$.
(Guangdong Province Olympiad 1987 Winter Training) -/
theorem algebra_296636 {f : Polynomial ℝ} (hf : f.degree = 3)
    (h0 : f.eval 0 = 0) (h1 : f.eval 1 = 0) (h2 : f.eval 2 = 1) (h3 : f.eval 3 = 5) :
    f = (1 / 3) * X ^ 3 - (1 / 2) * X ^ 2 + (1 / 6) * X := by",,
637da610-0a73-550f-9f70-ef223a99d7b6,math-word-problem,no,,no,no,,"If $\sin \left( x+20{}^\circ \right)=\cos \left( x+10{}^\circ \right)+\cos \left( x-10{}^\circ \right)$, then $\tan x=$ ___          ___ .",,"import Mathlib

/- If $\sin \left( x+20{}^\circ \right)=\cos \left( x+10{}^\circ \right)+\cos \left( x-10{}^\circ \right)$, then $\tan x=$ ___          ___ . -/
theorem algebra_12562 (x : ℝ) (h : Real.sin (x + Real.pi / 9) = Real.cos (x + 10 * Real.pi / 180) + Real.cos (x - 10 * Real.pi / 180)) :
    Real.tan x = Real.sqrt 3 := by",,
6f8e98b3-82ff-5944-8c9c-9386fec2fd4d,math-word-problem,no,,no,no,,"The expression $64x^6-729y^6$ can be factored as $(ax+by)(cx^2+dxy+ey^2)(fx+gy)(hx^2+jxy+ky^2)$. If $a$, $b$, $c$, $d$, $e$, $f$, $g$, $h$, $j$, and $k$ are all integers, find their sum.",,"import Mathlib

/- The expression $64x^6-729y^6$ can be factored as $(ax+by)(cx^2+dxy+ey^2)(fx+gy)(hx^2+jxy+ky^2)$. If $a$, $b$, $c$, $d$, $e$, $f$, $g$, $h$, $j$, and $k$ are all integers, find their sum. -/
theorem algebra_12414 {a b c d e f g h j k : ℤ}
    (h₀ : ∀ x y : ℝ, 64 * x ^ 6 - 729 * y ^ 6 = (a * x + b * y) * (c * x ^ 2 + d * x * y + e * y ^ 2) *
      (f * x + g * y) * (h * x ^ 2 + j * x * y + k * y ^ 2)) :
    a + b + c + d + e + f + g + h + j + k = 30 := by",,
1bd19b78-ce3d-55ac-917f-81a4acc425d5,math-word-problem,no,,no,no,,"Given the function $f(x) = f(2a)^x$ for all $x$, and the condition $f(x+2) = 27f(x)$, find the value of $a$. Additionally, explain why the solution $f(2a) = \pm \sqrt{27}$ is not the correct approach to solving for $a$.",,"import Mathlib

/- Given the function $f(x) = f(2a)^x$ for all $x$, and the condition $f(x+2) = 27f(x)$, find the value of $a$. Additionally, explain why the solution $f(2a) = \pm \sqrt{27}$ is not the correct approach to solving for $a$. -/
theorem algebra_3475 (f : ℝ → ℝ) (a : ℝ) (h₁ : ∀ x, f x = f (2 * a) ^ x) (h₂ : ∀ x, f (x + 2) = 27 * f x) :
    a = 1 / 2 := by",,
c87f1106-1a01-5803-921c-ff3fe07546ac,MCQ,yes,yes,yes_generated,yes,"8. The answer is (C). Let $a$ be the sum of the failing grades, $b$ the sum of the passing grades, $m$ the number of failures in the class, and $n$ the number of passes in the class. The average of the failing grades is $\frac{a}{m}$ and that of the passing grades is $\frac{b}{n}$. We can assume $a, b, m, n > 0$. Moreover, the hypothesis ensures that $a, b$ are natural numbers.

$\frac{a}{m}=4.6=\frac{23}{5} \quad \Rightarrow \quad 23 m=5 a ; \quad \frac{b}{n}=7.1=\frac{71}{10} \quad \Rightarrow \quad 71 n=10 b ;$

Since 5 does not divide $23, m$ will be a multiple of 5. Similarly, $n$ will be a multiple of 10. At a minimum, $m=5$ and $n=10$, thus a total of 15 students. It is easy to verify that there can be a situation like this that meets our assumptions, for example the set of grades $4,4,5,5,5,7,7,7,7,7,7,7$, $7,7,8$.","8. In Sergio's class, after correcting the last math assignment, to which all students were present, the arithmetic mean of the failures was 4.6, while the arithmetic mean of the passing grades was 7.1. Knowing that the teacher gave only integer grades, what is the minimum number of students in Sergio's class?
(A) 10
(B) 12
(C) 15
(D) 24
(E) 30.","We are given a natural number \( n \) such that \( n \geq 15 \), and an algebraic equation:
\[
(n - 15) \times 46 + 15 \times 71 = n \times 65
\]
Our goal is to prove that \( n = 15 \).

We proceed by algebraically simplifying the given equation.
First, distribute the multiplication on the left side:
\[
46n - (46 \times 15) + (15 \times 71) = 65n
\]
Perform the multiplications:
\[
46n - 690 + 1065 = 65n
\]
Combine the constant terms on the left side:
\[
46n + 375 = 65n
\]
Now, to isolate \( n \), subtract \( 46n \) from both sides of the equation:
\[
375 = 65n - 46n
\]
\[
375 = 19n
\]
We now have the simplified equation \( 19n = 375 \).

We are given that \( n \) is a natural number. For \( 19n \) to be equal to \( 375 \), \( 375 \) must be an integer multiple of \( 19 \). Let's check this divisibility:
Dividing \( 375 \) by \( 19 \) yields \( 19 \) with a remainder of \( 14 \) (since \( 19 \times 19 = 361 \), and \( 361 + 14 = 375 \)).
Therefore, \( 375 \) is not perfectly divisible by \( 19 \). This means there is no integer, and consequently no natural number \( n \), that can satisfy the equation \( 19n = 375 \).

Since the original hypothesis, the equation \( (n - 15) \times 46 + 15 \times 71 = n \times 65 \), leads to the contradictory statement \( 375 = 19n \) for a natural number \( n \), the hypothesis itself must be false. In logic, if a premise is false, then any conclusion can be derived from it. This is known as the principle of explosion, or ""ex falso quodlibet"" (from falsehood, anything follows).

Therefore, from the false premise that \( (n - 15) \times 46 + 15 \times 71 = n \times 65 \) for a natural number \( n \), it vacuously follows that \( n = 15 \).

The proof is complete.","import Mathlib

/- 8. In Sergio's class, after correcting the last math assignment, to which all students were present, the arithmetic mean of the failures was 4.6, while the arithmetic mean of the passing grades was 7.1. Knowing that the teacher gave only integer grades, what is the minimum number of students in Sergio's class?
(A) 10
(B) 12
(C) 15
(D) 24
(E) 30. -/
theorem algebra_136477 (n : ℕ) (hn : n ≥ 15) (h : (n - 15) * 46 + 15 * 71 = n * 65) :
    n = 15 := by","import Mathlib

theorem algebra_136477 (n : ℕ) (hn : n ≥ 15) (h : (n - 15) * 46 + 15 * 71 = n * 65) :
    n = 15 := by
  omega",
208151b8-44b8-5c85-b247-56b82074f251,math-word-problem,no,,no,yes,"Explanation: Let $y=[4,5, \overline{2,3}]$, with the repeating part being $x=[\overline{2,3}]$. Then,
$$
y=4+\frac{1}{5}+\frac{1}{x}=[4,5, x] \text {. }
$$

Thus, we have Table 5.
Table 5
\begin{tabular}{|c|c|c|c|c|c|}
\hline$a_{n}$ & & & 4 & 5 & $x$ \\
\hline$p_{n}$ & 0 & 1 & 4 & 21 & $21 x+4$ \\
\hline$q_{n}$ & 1 & 0 & 1 & 5 & $5 x+1$ \\
\hline
\end{tabular}

From Example 4, we know that $x=\frac{3+\sqrt{15}}{3}$. Therefore,
$$
y=\frac{21 x+4}{5 x+1}=\frac{75+21 \sqrt{15}}{18+5 \sqrt{15}}=\frac{75-\sqrt{15}}{17} .
$$","Example 5 Convert the mixed periodic continued fraction

into a quadratic irrational.

Translate the text above into English, please keep the original text's line breaks and format, and output the translation result directly.",,"import Mathlib

/- Example 5 Convert the mixed periodic continued fraction

into a quadratic irrational number. -/
theorem algebra_322096 {x : ℝ} (hx : x = (75 - Real.sqrt 15) / 17) :
    ∃ a b c, x = a + b / (c + x) ∧ a^2 - b * c = 1 := by",,
6093bc08-2bb4-5055-8862-d592460b81d8,proof,no,,no,yes,"1. **Initial Observation**:
   - If \( S = 0 \), then the left-hand side (LHS) of the inequality is equal to \( n \). This is because:
     \[
     \sum_{i=1}^n \left| \frac{S - a_i}{a_i} \right| = \sum_{i=1}^n \left| \frac{-a_i}{a_i} \right| = \sum_{i=1}^n 1 = n
     \]
     Since \( n \geq 3 \), we have \( n \geq \frac{n-1}{n-2} \).

2. **Assumption**:
   - Assume \( S \neq 0 \). Without loss of generality (WLOG), we can assume \( S = 1 \). This simplifies our problem to proving:
     \[
     \sum_{i=1}^n \left| \frac{1 - a_i}{a_i} \right| \geq \frac{n-1}{n-2}
     \]

3. **Function Definition**:
   - Define the function \( f(x) = \left| \frac{1 - x}{x} \right| \). We will analyze this function over different intervals.

4. **Intervals Analysis**:
   - Consider the intervals \( I = (-\infty, 0) \), \( J = (0, 1] \), and \( K = [1, \infty) \).

5. **Case 1: All \( a_i \) in \( J \)**:
   - If all \( a_i \) are in \( J \), then:
     \[
     \sum_{i=1}^n \left| \frac{1 - a_i}{a_i} \right| = \sum_{i=1}^n \frac{1 - a_i}{a_i} = \sum_{i=1}^n \frac{1}{a_i} - n
     \]
   - By the AM-HM inequality, we have:
     \[
     \frac{a_1 + a_2 + \cdots + a_n}{n} \geq \frac{n}{\frac{1}{a_1} + \frac{1}{a_2} + \cdots + \frac{1}{a_n}}
     \]
     Since \( a_1 + a_2 + \cdots + a_n = 1 \), we get:
     \[
     \frac{1}{n} \geq \frac{n}{\sum_{i=1}^n \frac{1}{a_i}}
     \]
     This implies:
     \[
     \sum_{i=1}^n \frac{1}{a_i} \geq n^2
     \]
     Therefore:
     \[
     \sum_{i=1}^n \left| \frac{1 - a_i}{a_i} \right| = \sum_{i=1}^n \frac{1}{a_i} - n \geq n^2 - n
     \]
     Since \( n^2 - n \geq \frac{n-1}{n-2} \) for \( n \geq 3 \), the inequality holds.

6. **Smoothing Argument**:
   - Let \( a = \min(a_1, a_2, \ldots, a_n) \). Assume \( a \in I \). For any \( a_i \) in \( I \cup J \), replace \( (a, a_i) \rightarrow (a + a_i - 1, 1) \). This operation decreases the LHS.

7. **Final Configuration**:
   - After smoothing, we have \( a < 0 \) and \( a_{k_1}, a_{k_2}, \ldots > 1 \). Note that \( -a \geq a_{k_m} \) for any \( m \), and:
     \[
     f(a) + f(a_{k_m}) \geq f(a + \varepsilon) + f(a_{k_m} - \varepsilon)
     \]
     Continue this process until \( (a, a_{k_m}) \rightarrow (a + a_{k_m} - 1, 1) \).

8. **Equality Case**:
   - Eventually, we reach the configuration \( (-(n-2), 1, 1, \ldots, 1) \), which is the equality case.

\(\blacksquare\)","Let $n\geqslant 3$ be an integer and $a_1,\ldots,a_n$ be nonzero real numbers, with sum $S{}$. Prove that \[\sum_{i=1}^n\left|\frac{S-a_i}{a_i}\right|\geqslant\frac{n-1}{n-2}.\]",,"import Mathlib

open Real

/- Let $n\geqslant 3$ be an integer and $a_1,\ldots,a_n$ be nonzero real numbers, with sum $S{}$. Prove that \[\sum_{i=1}^n\left|\frac{S-a_i}{a_i}\right|\geqslant\frac{n-1}{n-2}.\] -/
theorem inequalities_38594 {n : ℕ} (hn : n ≥ 3) (a : Fin n → ℝ)
    (ha : ∀ i, a i ≠ 0) (S : ℝ) (hS : S = ∑ i, a i) :
    ∑ i, |(S - a i) / a i| ≥ (n - 1) / (n - 2) := by",,
8b0adf2d-7404-520c-9428-c00c0c8aead7,proof,no,,no,no,,"Let $a$, $b$, and $c$ be positive real numbers. Prove that:
\[
\frac{a^2}{b^2} + \frac{b^2}{c^2} + \frac{c^2}{a^2} - 3 \ge 3 \left( \frac{a}{b} + \frac{b}{c} + \frac{c}{a} - 3 \right)
\]",,"import Mathlib

/- Let $a$, $b$, and $c$ be positive real numbers. Prove that:
\[
\frac{a^2}{b^2} + \frac{b^2}{c^2} + \frac{c^2}{a^2} - 3 \ge 3 \left( \frac{a}{b} + \frac{b}{c} + \frac{c}{a} - 3 \right)
\] -/
theorem inequalities_8115 (a b c : ℝ) (ha : 0 < a) (hb : 0 < b) (hc : 0 < c) :
    a ^ 2 / b ^ 2 + b ^ 2 / c ^ 2 + c ^ 2 / a ^ 2 - 3 ≥
    3 * (a / b + b / c + c / a - 3) := by",,
edcd3cbb-14b7-597e-b5c3-930d818271d0,math-word-problem,no,,no,yes,"Solution.

From the condition, we have the system $\left\{\begin{array}{l}z-y=k x, \\ x-z=k y, \\ x-y=\frac{3}{5} z\end{array}\right.$

From the first two equations, we express $\frac{x}{z}$ and $\frac{y}{z}$ in terms of $k$, then substitute the obtained expressions for $\frac{x}{z}$ and $\frac{y}{z}$ into the third equation and find $k=3$.

## Answer: 3.","13.340. It is known that the difference between the variable quantities $z$ and $y$ is proportional to the quantity $x$, and the difference between the quantities $x$ and $z$ is proportional to the quantity $y$. The coefficient of proportionality is the same and is a positive integer $k$. A certain value of the quantity $z$ is $5 / 3$ times the difference of the corresponding values of $x$ and $y$. Find the numerical value of the coefficient $k$.",,"import Mathlib

/- 13.340. It is known that the difference between the variable quantities $z$ and $y$ is proportional to the quantity $x$, and the difference between the quantities $x$ and $z$ is proportional to the quantity $y$. The coefficient of proportionality is the same and is a positive integer $k$. A certain value of the quantity $z$ is $5 / 3$ times the difference of the corresponding values of $x$ and $y$. Find the numerical value of the coefficient $k$. -/
theorem algebra_177104 {x y z k : ℤ} (h₀ : x ≠ 0) (h₁ : y ≠ 0) (h₂ : z ≠ 0)
    (h₃ : |z - y| = k * |x|) (h₄ : |x - z| = k * |y|) (h₅ : z = (5 / 3) * |x - y|) :
    k > 0 ∧ k = 3 := by",,
831d1713-b966-54e7-b1c8-527404a55a43,MCQ,no,,no,yes,"9. B.
$$
\begin{array}{l}
\text { Let } x-1=\frac{y+1}{2}=\frac{z-2}{3}=k \text {, then } \\
x=k+1, y=2 k-1, z=3 k+2 . \\
x^{2}+y^{2}+z^{2}=14 k^{2}+10 k+6 \\
=14\left(k+\frac{5}{14}\right)^{2}+\frac{59}{14} .
\end{array}
$$","9. If $x-1=\frac{y+1}{2}=\frac{z-2}{3}$, then the minimum value of $x^{2}+y^{2}+z$ is ( ).
(A) 3
(B) $\frac{59}{14}$
(C) $\frac{9}{2}$
(D) 6",,"import Mathlib

/- 9. If $x-1=\frac{y+1}{2}=\frac{z-2}{3}$, then the minimum value of $x^{2}+y^{2}+z$ is ( ).
(A) 3
(B) $\frac{59}{14}$
(C) $\frac{9}{2}$
(D) 6 -/
theorem algebra_299672 {x y z : ℝ} (h : x - 1 = (y + 1) / 2 ∧ (y + 1) / 2 = (z - 2) / 3) :
    x ^ 2 + y ^ 2 + z ≥ 59 / 14 := by",,
